episode,reward,intercepted,breached,success_rate
1,2200.00,16,0,69.6
2,2200.00,16,0,72.7
3,2000.00,14,0,70.0
4,2400.00,18,0,75.0
5,2100.00,15,0,78.9
6,2100.00,15,0,71.4
7,1799.00,17,1,73.9
8,2700.00,21,0,84.0
9,2200.00,16,0,72.7
10,2400.00,18,0,78.3
11,2400.00,18,0,75.0
12,1799.00,17,1,81.0
13,1699.00,16,1,64.0
14,2300.00,17,0,77.3
15,2300.00,17,0,81.0
16,1900.00,13,0,65.0
17,2000.00,14,0,70.0
18,2100.00,15,0,68.2
19,2300.00,17,0,81.0
20,2400.00,18,0,72.0
21,2700.00,21,0,87.5
22,2700.00,21,0,75.0
23,1699.00,16,1,69.6
24,2100.00,15,0,75.0
25,2400.00,18,0,75.0
26,2200.00,16,0,80.0
27,2400.00,18,0,75.0
28,2299.00,22,1,84.6
29,2300.00,17,0,73.9
30,2600.00,20,0,90.9
31,2200.00,16,0,72.7
32,2300.00,17,0,73.9
33,1900.00,13,0,61.9
34,2400.00,18,0,72.0
35,1699.00,16,1,72.7
36,2100.00,15,0,62.5
37,2100.00,15,0,75.0
38,1399.00,13,1,65.0
39,2200.00,16,0,66.7
40,2200.00,16,0,80.0
41,2400.00,18,0,78.3
42,1999.00,19,1,76.0
43,2000.00,14,0,70.0
44,2100.00,15,0,71.4
45,2300.00,17,0,73.9
46,2600.00,20,0,80.0
47,1699.00,16,1,80.0
48,2300.00,17,0,77.3
49,1499.00,14,1,60.9
50,2100.00,15,0,71.4
51,1899.00,18,1,78.3
52,1699.00,16,1,66.7
53,2600.00,20,0,87.0
54,2400.00,18,0,78.3
55,1999.00,19,1,82.6
56,1900.00,13,0,68.4
57,898.00,13,2,59.1
58,2300.00,17,0,81.0
59,1899.00,18,1,85.7
60,2400.00,18,0,75.0
61,2300.00,17,0,73.9
62,2400.00,18,0,78.3
63,1899.00,18,1,78.3
64,1999.00,19,1,76.0
65,1699.00,16,1,69.6
66,2300.00,17,0,77.3
67,2100.00,15,0,83.3
68,2200.00,16,0,69.6
69,2400.00,18,0,72.0
70,2300.00,17,0,77.3
71,2199.00,21,1,84.0
72,2900.00,23,0,92.0
73,1999.00,19,1,76.0
74,2099.00,20,1,83.3
75,1599.00,15,1,78.9
76,2100.00,15,0,83.3
77,1799.00,17,1,70.8
78,2600.00,20,0,80.0
79,2900.00,23,0,92.0
80,2300.00,17,0,73.9
81,2300.00,17,0,81.0
82,2600.00,20,0,74.1
83,1899.00,18,1,75.0
84,1199.00,11,1,57.9
85,1800.00,12,0,63.2
86,2100.00,15,0,68.2
87,1900.00,13,0,54.2
88,2600.00,20,0,83.3
89,2600.00,20,0,80.0
90,2300.00,17,0,73.9
91,2300.00,17,0,77.3
92,1900.00,13,0,65.0
93,1900.00,13,0,68.4
94,1999.00,19,1,82.6
95,2500.00,19,0,79.2
96,2300.00,17,0,73.9
97,2000.00,14,0,60.9
98,1899.00,18,1,81.8
99,1399.00,13,1,65.0
100,2400.00,18,0,69.2
101,2400.00,18,0,75.0
102,2200.00,16,0,76.2
103,2100.00,15,0,62.5
104,1399.00,13,1,61.9
105,1699.00,16,1,61.5
106,1900.00,13,0,61.9
107,1699.00,16,1,76.2
108,2100.00,15,0,75.0
109,1799.00,17,1,73.9
110,2099.00,20,1,83.3
111,2000.00,14,0,73.7
112,2400.00,18,0,75.0
113,2100.00,15,0,75.0
114,2100.00,15,0,75.0
115,2500.00,19,0,79.2
116,2500.00,19,0,82.6
117,2300.00,17,0,65.4
118,2500.00,19,0,76.0
119,1399.00,13,1,54.2
120,2500.00,19,0,82.6
121,2300.00,17,0,77.3
122,2300.00,17,0,73.9
123,2200.00,16,0,59.3
124,2400.00,18,0,90.0
125,2700.00,21,0,80.8
126,2400.00,18,0,85.7
127,1899.00,18,1,69.2
128,1199.00,11,1,57.9
129,2100.00,15,0,68.2
130,2200.00,16,0,72.7
131,2500.00,19,0,76.0
132,2400.00,18,0,72.0
133,2100.00,15,0,71.4
134,2600.00,20,0,80.0
135,1799.00,17,1,70.8
136,2600.00,20,0,76.9
137,2000.00,14,0,58.3
138,2200.00,16,0,69.6
139,1900.00,13,0,54.2
140,1999.00,19,1,76.0
141,2100.00,15,0,78.9
142,2100.00,15,0,68.2
143,2100.00,15,0,75.0
144,1699.00,16,1,66.7
145,2500.00,19,0,82.6
146,2300.00,17,0,70.8
147,2099.00,20,1,74.1
148,2500.00,19,0,82.6
149,2300.00,17,0,70.8
150,2300.00,17,0,68.0
151,1800.00,12,0,57.1
152,2200.00,16,0,64.0
153,2300.00,17,0,73.9
154,2400.00,18,0,78.3
155,2500.00,19,0,76.0
156,2400.00,18,0,69.2
157,1900.00,13,0,72.2
158,1900.00,13,0,61.9
159,1199.00,11,1,55.0
160,1198.00,16,2,59.3
161,2300.00,17,0,68.0
162,2400.00,18,0,69.2
163,2400.00,18,0,81.8
164,1999.00,19,1,70.4
165,2500.00,19,0,86.4
166,2100.00,15,0,83.3
167,2199.00,21,1,77.8
168,1799.00,17,1,65.4
169,1299.00,12,1,60.0
170,2099.00,20,1,74.1
171,1900.00,13,0,56.5
172,2500.00,19,0,73.1
173,2400.00,18,0,64.3
